tip,date,group
Jeddah-KSA-C21271_2015_KT806045_human_2015-02-22,2015-02-22,human
Riyadh_Ry136_2015_KT368868_camel_2015-03,2015-03,camel
Jeddah_D42_2014_KT368835_camel_2014-12,2014-12,camel
Jeddah_D49_2014_KT368841_camel_2014-12,2014-12,camel
KOR_CNUH_SNU_172_06_2015_KT868877_human_2015-06-22,2015-06-22,human
KOR_Seoul_080-3-2015_KX034097_human_2015-06-17,2015-06-17,human
KOREA_Seoul_168-1-2015_KT374056_human_2015-06-21,2015-06-21,human
Riyadh_Ry63_2015_KT368876_camel_2015-03,2015-03,camel
Riyadh_Ry64_2015_KT368877_camel_2015-03,2015-03,camel
Riyadh_KKUH_0818__human_2015-02-28,2015-02-28,human
Riyadh_KKUH_1470__human_2015-03-08,2015-03-08,human
Riyadh_KKUH_0826__human_2015-02-28,2015-02-28,human
Riyadh_KKUH_0944__human_2015-03-02,2015-03-02,human
KOR_CNUH_SNU_030_06_2015_KT868868_human_2015-06-08,2015-06-08,human
KOR_CNUH_SNU_023_06_2015_KT868866_human_2015-06-11,2015-06-11,human
Riyadh_KKUH_1145__human_2015-03-04,2015-03-04,human
Riyadh_KKUH_1461__human_2015-03-08,2015-03-08,human
KOR_CNUH_SNU_016_06_2015_KT868865_human_2015-06-11,2015-06-11,human
KOR_CNUH_SNU_085_06_2015_KT868873_human_2015-06-10,2015-06-10,human
Riyadh_KKUH_0780__human_2015-02-25,2015-02-25,human
Riyadh_KKUH_1066__human_2015-03-03,2015-03-03,human
Riyadh_KKUH_0801__human_2015-02-27,2015-02-27,human
KOR_CNUH_SNU_024_06_2015_KT868867_human_2015-06-08,2015-06-08,human
KOR_CNUH_SNU_031_06_2015_KT868869_human_2015-06-11,2015-06-11,human
Riyadh_KKUH_1522__human_2015-03-09,2015-03-09,human
KOR_CNUH_SNU_082_06_2015_KT868872_human_2015-06-10,2015-06-10,human
KOR_CNUH_SNU_148_06_2015_KT868876_human_2015-06-10,2015-06-10,human
Riyadh_KKUH_0939__human_2015-03-02,2015-03-02,human
Riyadh_KKUH_1217__human_2015-03-04,2015-03-04,human
KOREA_Seoul_035-1-2015_KT374054_human_2015-06-03,2015-06-03,human
Korea_Seoul_SNU1-035_2015_KU308549_human_2015-06-08,2015-06-08,human
KOR_Seoul_162-1-2015_KX034098_human_2015-06-22,2015-06-22,human
KOR_Seoul_077-2-2015_KX034096_human_2015-06-17,2015-06-17,human
KOR_Seoul_169-2015_KX034099_human_2015-06-26,2015-06-26,human
KOREA_Seoul_014-1-2015_KT374052_human_2015-05-31,2015-05-31,human
KOR_CNUH_SNU_110_06_2015_KT868874_human_2015-06-11,2015-06-11,human
KOR_Seoul_177-3-2015_KX034100_human_2015-07-03,2015-07-03,human
